BTS,"[-7.630280000000059e-07, -7.655060000000269e-07, -7.653290000000229e-07, -7.656830000000309e-07, -7.630280000000059e-07, -7.630280000000059e-07, -7.193089999999944e-07, -1.0226720000000231e-06, -1.006565000000008e-06, -9.727580000000112e-07, -8.704569999999981e-07, -8.667400000000186e-07, -8.504559999999995e-07, -8.504559999999995e-07]"
XZC,"[8.080828000000207e-05, 8.033605999999694e-05, 8.036978999999889e-05, 8.030232999999942e-05, 8.080828000000207e-05, 8.080828000000207e-05, 8.913959000000027e-05, 8.84987199999987e-05, 9.156814999999874e-05, 9.801057999999862e-05, 9.84490700000018e-05, 9.91573999999984e-05, 0.00010226056000000039, 0.00010226056000000039]"
LSK,"[1.521443999999983e-05, 1.5077379999999252e-05, 1.5087169999998817e-05, 1.5067589999997466e-05, 1.521443999999983e-05, 1.521443999999983e-05, 1.763256999999907e-05, 1.7446559999998445e-05, 1.8337449999998867e-05, 2.020733999999802e-05, 3.091819999999856e-05, 3.112399999999793e-05, 3.2025599999998544e-05, 3.2025599999998544e-05]"
MANA,"[1.8609399999999776e-06, 1.851629999999882e-06, 1.8522949999999482e-06, 1.8509649999999545e-06, 1.8609399999999776e-06, 1.8609399999999776e-06, 2.02519499999998e-06, 2.012559999999969e-06, 2.0730749999998967e-06, 2.2000899999999323e-06, 2.2087349999999615e-06, 2.2226999999999665e-06, 2.2838799999999603e-06, 2.2838799999999603e-06]"
ADA,"[-1.4561879999999693e-06, -1.168326000000053e-06, -1.56745899999991e-06, -5.355100000006829e-08, -1.5983519999999974e-06, -8.983519999999912e-07, -2.258730000000153e-07, -5.843200000001103e-07, 2.5300499999991734e-07, 3.193659999999043e-07, 3.306890000000229e-07, -1.151020000000058e-06, -4.1241600000019305e-07, -1.770888000000026e-06]"
XLM,"[-1.234207999999959e-06, -1.4436160000000365e-06, -1.4429440000000848e-06, -9.442880000000431e-07, -9.342079999999365e-07, -9.342079999999365e-07, -7.682239999999563e-07, -1.7809920000000368e-06, -3.529999999946076e-09, 1.2520399999993437e-07, 6.923250000000214e-07, 7.064999999999155e-07, 7.685999999998416e-07, 8.685999999998029e-07]"
LEND,"[3.0305600000002376e-06, 2.9751199999994425e-06, 1.6730778999999863e-05, 1.672283299999966e-05, 6.298100000000085e-06, 2.5137720000001364e-06, -3.436240999999951e-06, -3.511728000000214e-06, -1.384945000000304e-06, -1.1827680000003893e-06, -4.147589999999868e-06, -5.122180000000642e-06, 4.295639999999934e-06, -2.1797760000008547e-06]"
WAVES,"[-4.410519999997753e-06, -4.69654000000208e-06, -4.676109999999234e-06, -4.7169700000004865e-06, -4.410519999997753e-06, -4.410519999997753e-06, 6.356899999993004e-07, -1.0333120000001195e-05, 9.922149999996854e-06, -2.3156619999999962e-05, -3.347332000000147e-05, -3.3042400000002914e-05, -1.298511999999974e-05, 1.3091279999999373e-05]"
GTO,"[-2.876760000000006e-07, -2.8850200000001337e-07, -2.884430000000063e-07, -2.885610000000118e-07, -2.876760000000006e-07, -2.876760000000006e-07, -2.7310300000000546e-07, -2.742240000000104e-07, -2.6885500000001404e-07, -2.575860000000093e-07, -2.568190000000036e-07, -2.5558000000001045e-07, -2.501520000000156e-07, -2.501520000000156e-07]"
ICX,"[4.8830599999999395e-06, 4.836369999999257e-06, -2.1602950000004785e-06, -2.166965000000576e-06, -4.11694000000018e-06, -2.1169399999998453e-06, -1.2931950000000248e-06, 9.337599999997836e-07, 2.2376999999995652e-06, 1.2257160000000989e-06, 1.3275730000000818e-06, 1.397859999999751e-06, 5.056615999999847e-06, 8.115087999999716e-06]"
AION,"[-3.845027999999917e-06, -3.8545059999998965e-06, -3.853828999999948e-06, -3.855182999999984e-06, -3.845027999999917e-06, -3.845027999999917e-06, -3.677808999999893e-06, -3.690671999999895e-06, -3.629064999999959e-06, -3.4997579999999916e-06, -2.4325979999999248e-06, -2.4183599999999527e-06, -2.35598399999995e-06, -2.35598399999995e-06]"
RLC,"[3.124392000000142e-06, 3.026083999999596e-06, 3.033105999999952e-06, 3.0190619999992396e-06, 3.124392000000142e-06, -6.974491999999221e-06, 7.452244999999191e-06, 1.706087999999939e-05, 9.818284999998373e-06, -5.835738000000701e-06, -5.7441270000002654e-06, -5.596140000000416e-06, -1.6591007999999796e-05, -1.6591007999999796e-05]"
IOST,"[-8.938719999999987e-07, -8.945440000000023e-07, -8.544960000000067e-07, -8.545920000000134e-07, -8.538720000000021e-07, -8.638720000000034e-07, -8.52016000000011e-07, -8.829280000000051e-07, -9.385600000000067e-07, -9.793920000000094e-07, -9.787680000000049e-07, -9.77760000000008e-07, -9.733440000000114e-07, -9.733440000000114e-07]"
NANO,"[-2.6547319999998818e-05, -2.664014000000048e-05, 1.9366489999999015e-05, 1.935322999999878e-05, 1.9452680000000555e-05, 1.9452680000000555e-05, 1.050945999999886e-05, 1.0383679999999008e-05, 1.0986099999998888e-05, 7.417440000000441e-06, 6.503760000000635e-06, -3.940599999999739e-06, -4.33064000000094e-06, -4.33064000000094e-06]"
BLZ,"[3.519552000000037e-06, -7.233840000001046e-07, -7.22556000000013e-07, -7.242120000000574e-07, -1.8117919999999233e-06, -1.8117919999999233e-06, -1.6072759999999352e-06, -3.323008000000044e-06, -8.73195000000021e-07, 1.0772559999998322e-06, 2.146482999999949e-06, 2.1640599999998843e-06, 2.2410639999997928e-06, 2.2410639999997928e-06]"
ZIL,"[-1.992239999999701e-07, -1.5479999999901127e-09, -1.381999999994221e-09, -1.714000000020699e-09, 7.760000000217593e-10, 7.760000000217593e-10, 4.177800000001314e-08, 3.862399999998711e-08, -2.462700000000276e-07, -5.145640000000021e-07, -5.124059999999861e-07, -5.08920000000003e-07, -8.93647999999983e-07, -8.93647999999983e-07]"
ONT,"[-9.87879999999608e-07, 3.517960000000153e-06, 5.523139999999982e-06, 6.512779999999774e-06, 6.590480000000509e-06, 6.590480000000509e-06, 7.869939999999299e-06, 7.715199999991374e-07, -7.571000000006212e-07, -7.767720000001477e-06, -8.70038000000073e-06, -7.59160000000092e-06, -7.1150400000008495e-06, -7.1150400000008495e-06]"
STORM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
WAN,"[-2.760800000000119e-06, -2.7916000000002826e-06, -2.7894000000003307e-06, -2.7938000000005127e-06, -2.760800000000119e-06, -2.760800000000119e-06, 2.259852999999812e-06, 9.624671999999834e-06, 9.824689999999858e-06, 1.0244507999999653e-05, 8.331441000000161e-06, 8.37761999999992e-06, 8.579928000000126e-06, 8.579928000000126e-06]"
REP,"[-0.0004502767999999868, -0.000451973600000013, -0.0004518524000000035, -0.00045209480000000466, -0.0004502767999999868, -0.0004502767999999868, -0.00042034040000000773, -0.0004226432000000102, -0.00041161400000000014, -0.000388464800000019, -0.00038688920000000236, -0.00038434400000001643, -0.0003731936000000147, -0.0003731936000000147]"
TUSD,"[-0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01]"
ZEN,"[0.0001157922400000011, 0.0001151154799999965, 0.00011516381999999048, 0.00011506713999999363, 0.0001157922400000011, 0.0001157922400000011, 0.0001277322199999986, 0.00012681375999998857, 0.00013121269999999185, 0.00014044563999998872, 9.10740600000004e-05, 9.208919999998954e-05, 9.653647999999571e-05, 9.653647999999571e-05]"
CVC,"[9.082480000000004e-07, 9.051959999999485e-07, 9.054139999999794e-07, 9.049779999999522e-07, 9.082480000000004e-07, 9.082480000000004e-07, 9.620939999999828e-07, 9.579519999999495e-07, 9.777899999999576e-07, 1.019427999999975e-06, 1.022261999999996e-06, 1.0268399999999525e-06, 1.046895999999957e-06, 1.046895999999957e-06]"
THETA,"[1.6151904000000218e-05, 1.6361408000000743e-05, 1.6267871999999794e-05, 1.625494399999927e-05, 1.3551904000000948e-05, 1.5614592000001704e-05, 1.651317600000035e-05, 1.0385920000000048e-06, 1.2267794999999415e-05, 1.3607193999999323e-05, 1.3791550999999735e-05, 2.3948600000001096e-06, -4.336639999991121e-07, -4.336639999991121e-07]"
IOTX,"[3.2150400000000023e-07, 3.2060799999999826e-07, 3.206719999999941e-07, 3.205439999999938e-07, 3.2150400000000023e-07, 3.2150400000000023e-07, 3.3731200000000455e-07, 3.3609599999999756e-07, 3.419199999999973e-07, 3.541439999999937e-07, 3.549759999999999e-07, 3.563199999999985e-07, 3.622079999999941e-07, 3.622079999999941e-07]"
DATA,"[-1.3353719999999875e-06, -1.3412940000000206e-06, -1.3408710000000629e-06, -1.3417170000000477e-06, -1.935371999999963e-06, -1.935371999999963e-06, -7.728080000000276e-07, -7.808640000000339e-07, 8.158749999999382e-07, 8.970499999999548e-07, 9.025750000000305e-07, 9.114999999999818e-07, -1.766344000000003e-06, -1.766344000000003e-06]"
SC,"[-8.91936000000002e-07, -8.922720000000038e-07, -8.922480000000043e-07, -8.922960000000077e-07, -8.91936000000002e-07, -8.91936000000002e-07, -8.860080000000058e-07, -8.864640000000053e-07, -8.842800000000064e-07, -8.796960000000045e-07, -8.793840000000021e-07, -8.788800000000038e-07, -8.766720000000054e-07, -8.766720000000054e-07]"
NPXS,"[-1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06, -1.295e-06]"
KEY,"[-1.665e-05, -1.665e-05, -1.665e-05, -1.665e-05, -1.665e-05, -1.665e-05, -1.662e-05, -1.661e-05, -1.662e-05, -1.662e-05, -1.662e-05, -1.662e-05, -1.662e-05, -1.662e-05]"
MFT,"[-1.388e-05, -1.388e-05, -1.388e-05, -1.388e-05, -1.388e-05, -1.388e-05, -1.388e-05, -1.388e-05, -1.388e-05, -1.388e-05, -1.388e-05, -1.392e-05, -1.392e-05, -1.392e-05]"
DENT,"[-2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06, -2.001e-06]"
ARDR,"[-5.245519999999559e-07, -5.30404000000026e-07, 1.1700139999999693e-06, 1.1691779999999098e-06, 1.1754480000000096e-06, 1.1754480000000096e-06, 1.2786939999999413e-06, 1.2707519999999307e-06, 1.3087899999999348e-06, 1.3886279999999336e-06, 1.3940619999999737e-06, 1.4028399999999746e-06, 1.4412959999999392e-06, 1.4412959999999392e-06]"
HOT,"[-1.966559999999997e-07, -1.967119999999998e-07, -1.9670800000000007e-07, -1.967160000000001e-07, -1.966559999999997e-07, -1.966559999999997e-07, -1.9566799999999942e-07, -1.9574399999999988e-07, -1.953799999999999e-07, -1.946160000000001e-07, -1.9456399999999973e-07, -1.924800000000003e-07, -1.9211200000000058e-07, -1.9211200000000058e-07]"
VET,"[9.244199999999987e-07, 9.530900000000002e-07, 9.531850000000023e-07, -5.4826000000004345e-08, 9.344200000000087e-07, 9.344200000000087e-07, 8.578850000000131e-07, 6.960800000000052e-07, 6.847249999999972e-07, 5.628699999999862e-07, 4.941049999999947e-07, 5.460999999999834e-07, 4.6483999999999415e-07, 5.148399999999921e-07]"
DOCK,"[1.0930760000000052e-06, 1.091801999999996e-06, 1.0918929999999965e-06, 1.0917109999999953e-06, 1.0930760000000052e-06, 1.0930760000000052e-06, 1.1155529999999982e-06, 1.1138240000000028e-06, 1.1221049999999949e-06, 1.139486000000002e-06, 1.1406690000000107e-06, 1.1425799999999902e-06, 9.247999999999895e-08, 9.247999999999895e-08]"
